127.0.0.1 - - [23/Apr/2023:19:57:21 +0100] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:57:29 +0100] "GET /Primeros_pasos_JSP/saludo.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:57:29 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:58:54 +0100] "GET /Primeros_pasos_JSP/saludo.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:58:55 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:59:59 +0100] "GET /Primeros_pasos_JSP/saludo.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [23/Apr/2023:19:59:59 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:02:08 +0100] "GET /Primeros_pasos_JSP/saludo.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:02:09 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:10:29 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:10:30 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:11:50 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:11:50 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:13:23 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:13:24 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:13:34 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:13:35 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:14:50 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:14:51 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:15:58 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:15:59 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:16:34 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:16:34 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:16:52 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:16:52 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:19:07 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:19:08 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:19:19 +0100] "GET /Primeros_pasos_JSP/EjemploExpresiones.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:19:20 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:28:34 +0100] "GET /Primeros_pasos_JSP/EjemploScriptlet.jsp HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:28:34 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:31:24 +0100] "GET /Primeros_pasos_JSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:31:24 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:32:07 +0100] "GET /Primeros_pasos_JSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:32:08 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:32:36 +0100] "GET /Primeros_pasos_JSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:32:37 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:33:01 +0100] "GET /Primeros_pasos_JSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:33:01 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:44:04 +0100] "GET /Primeros_pasos_JSP/Calculos.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:44:04 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:46:47 +0100] "GET /Primeros_pasos_JSP/Calculos.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:46:47 +0100] "GET /favicon.ico HTTP/1.1" 404 698
